id,name,abadi_type,diag,ostan,shahrestan,bakhsh,dehestan
1,(1ده عبدالله شمس الدینی)سنجدو,0,,31,60,711,2014
2,(اسلامیه),0,,10,280,266,1150
3,]چشمه گز,0,,11,67,48,1021
4,/باتمانقلنج علیا/باش باتمانقلنج,0,,1,427,1036,60
5,/سهیلان / سمیلان,0,,29,209,285,1232
6,/شرکت تولیدی جبال بافق /,0,,31,60,711,2265
7,/عباس قشلاقی /نوری کندی,0,,3,382,568,109
8,/قشلاق مقدم شابنده /قشلاق شاه بنده,0,,1,150,520,2113
9,/محموداباد/نوری کندی,0,,3,382,568,109
10,13آبان(چاه نیازمحمد),0,,16,253,981,1489
11,1چهل نفره شهیداکبری,0,,31,22,710,2275
12,2چاه قادری,0,,31,22,710,2275
13,2چاه کوثر1معروف به حبیب شاکر,0,,31,22,710,2275
14,3چاه تعاونی 19احمدمحمدی احمدابادی,0,,31,22,710,2275
15,آیینه ده,0,,25,210,419,697
16,آب  دلواد,0,,15,237,334,2554
17,آب اژدون,0,,13,177,337,1399
18,آب اژدون شهی مرده,0,,13,177,337,1399
19,آب امیری,0,,13,93,139,563
20,آب انار,0,,13,46,42,2247
21,آب انار,0,,13,45,4,12
22,آب انار سیدنظر حسینی,0,,13,177,393,95
23,آب انارک,0,,13,58,841,2533
24,آب انارک,0,,17,170,858,309
25,آب اناری,0,,13,177,337,2262
26,آب اناری,0,,13,381,530,571
27,آب اناری,0,,26,41,306,1294
28,آب اناری کهزاد,0,,13,381,530,571
29,آب انبار,0,,30,429,381,1570
30,آب انبار,0,,31,22,223,1182
31,آب انبار,0,,31,396,713,2407
32,آب انبار بالا,0,,13,46,42,820
33,آب انبار بنیاد مسکن,0,,31,22,223,1284
34,آب انبار پایین,0,,13,46,42,820
35,آب انبار ثقفی,0,,31,22,710,2275
36,آب انبار رودخانه دارین,0,,10,280,776,2339
37,آب انبار ریز آب,0,,31,22,223,1182
38,آب انبار غدیر اژدر,0,,31,401,1032,2454
39,آب انبار مرتع سه چاهون,0,,31,90,9,41
40,آب انبار میرها,0,,31,22,223,1284
41,آب انجیرک سفلی,0,,13,381,839,689
42,آب انجیرک علیا,0,,13,381,839,689
43,آب بادام,0,,13,45,4,12
44,آب باددو,0,,17,319,873,2264
45,آب باران دو,0,,13,12,177,2
46,آب باران یک,0,,13,12,177,2
47,آب باره,0,,20,192,673,786
48,آب باریک,0,,13,381,839,690
49,آب باریک,0,,30,91,921,11
50,آب باریک,0,,30,202,922,1191
51,آب باریک,0,,18,86,749,1311
52,آب باریک,0,,20,96,668,1484
53,آب باریک,0,,20,311,671,522
54,آب باریک,0,,20,311,204,776
55,آب باریک,0,,20,192,673,1790
56,آب باریک,0,,20,188,676,877
57,آب باریک / میر,0,,26,341,506,1320
58,آب باریک بالا,0,,26,243,435,1768
59,آب باریک پایین,0,,26,243,435,1768
60,آب باریکو,0,,17,361,864,843
61,آب باریکی,1,6033,26,341,931,2025
62,آب بخشان,0,,28,259,330,2254
63,آب برچینه,0,,15,6,512,1744
64,آب برین,0,,16,420,13,711
65,آب بویی,0,,7,120,697,288
66,آب بهار دو,0,,13,381,839,689
67,آب بهار یک,0,,13,381,839,689
68,آب بید,0,,13,46,42,1878
69,آب بید,0,,13,46,42,2247
70,آب بید,0,,13,93,139,563
71,آب بید,0,,13,381,530,575
72,آب بید,0,,13,362,207,613
73,آب بید,0,,13,362,207,799
74,آب بید,0,,13,45,4,2013
75,آب بید,0,,13,45,847,1555
76,آب بید,0,,26,186,930,1091
77,آب بید انجیر سیاه,0,,23,348,693,2234
78,آب بید پیرشمس,0,,17,203,353,1201
79,آب بید حاجی بابا,0,,13,347,846,2074
80,آب بید گردکانه,0,,26,106,933,2409
81,آب بید1,0,,21,134,623,135
82,آب بیدعلی باز,0,,13,347,846,2074
83,آب بیدگله بادی,0,,13,45,4,12
84,آب بیدگله توک,0,,13,45,847,1845
85,آب پایین,0,,28,183,783,1088
86,آب پونه,0,,4,123,903,1209
87,آب تاریکان پایین,0,,29,209,285,1232
88,آب تر(موتورانوربلوچزهی),0,,16,148,659,503
89,آب توصله,0,,13,347,846,2074
90,آب جاز,0,,13,177,337,1399
91,آب جاز,0,,13,45,847,1555
92,آب جازک,0,,13,177,393,1587
93,آب جازی,0,,13,50,830,884
94,آب جهان,1,5082,17,170,858,309
95,آب چنار,0,,13,50,830,879
96,آب چنار,0,,13,45,191,743
97,آب چنار,0,,17,304,862,621
98,آب چنار,0,,26,153,928,1887
99,آب چندار,0,,13,45,4,12
100,آب چندار,0,,13,45,4,2013
101,آب چندار,0,,13,45,191,2217
102,آب چوییه,0,,4,37,500,592
103,آب چهرو,0,,13,45,4,12
104,آب چیتک,0,,13,177,393,1587
105,آب حاجت چهار بیشه,0,,23,348,693,2234
106,آب حمام,0,,13,381,530,571
107,آب حمام امیرالمومنین,0,,13,381,530,571
108,آب خارک,0,,4,37,500,623
109,آب خرزهره,0,,13,50,830,526
110,آب خرزهره,0,,13,93,139,563
111,آب خرزهره,0,,13,45,847,1555
112,آب خوگان,0,,13,50,830,879
113,آب دره,0,,13,45,847,1845
114,آب دره تازه,0,,13,177,393,1025
115,آب دلو,0,,13,58,841,1841
116,آب دوزک,0,,16,217,1035,2465
117,آب دیفه,0,,13,177,393,1587
118,آب راک دو,0,,13,50,830,879
119,آب راک یک,0,,13,50,830,879
120,آب راه,0,,13,50,260,1078
121,آب رحمت,0,,26,41,306,1293
122,آب رزک,0,,13,45,847,1845
123,آب زالو,0,,13,50,830,2291
124,آب زالو بهرام,0,,13,381,420,1704
125,آب زالو عرب,0,,13,381,420,1704
126,آب زالوییه,0,,29,145,726,999
127,آب زنی,0,,23,348,693,2234
128,آب زهره,0,,13,46,42,820
129,آب زهله انارکی,0,,13,46,42,1878
130,آب زهلی,0,,13,50,830,526
131,آب زهلی,0,,13,45,4,2013
132,آب سبز,0,,7,180,462,738
133,آب سرخ,0,,22,124,824,904
134,آب سفیداب,0,,4,322,894,2035
135,آب سنج,0,,17,304,862,91
136,آب سوراخ,0,,13,50,260,1120
137,آب سوراخ,0,,13,177,337,1399
138,آب سیلا,0,,13,177,393,1025
139,آب ‌شباندر,0,,26,153,117,1352
140,آب شوره,0,,13,46,42,820
141,آب شیرین,0,,4,322,894,2398
142,آب شیرین قره آغاج,0,,17,319,40,1254
143,آب علی,0,,16,51,657,850
144,آب قلعه,0,,13,45,4,12
145,آب قنات,0,,13,45,4,2013
146,آب کُت,0,,26,153,295,1160
147,آب کک,0,,4,187,905,2565
148,آب کنار,1,3667,25,79,574,780
149,آب کنار,0,,13,93,139,563
150,آب کنار,0,,13,177,393,1587
151,آب کولک,0,,13,45,4,2013
152,آب گازرون,0,,23,95,695,425
153,آب گرازی,0,,13,58,841,1841
154,آب گردین,0,,16,301,913,2303
155,آب گرم,0,,28,374,786,293
156,آب گرم,0,,17,170,858,309
157,آب گرم,0,,29,403,350,1454
158,آب گرمک,0,,13,177,393,1496
159,آب گرمک بالا,0,,26,41,267,539
160,آب گرمک‌پایین,0,,26,41,267,539
161,آب گرمو,0,,7,179,26,112
162,آب گرمه,0,,13,381,420,1704
163,آب گرمه,0,,13,362,843,1062
164,آب گرمه,0,,26,341,931,2026
165,آب گل,0,,13,58,841,1841
166,آب گنجشکی,0,,13,50,260,1078
167,آب گندو,0,,13,58,841,2533
168,آب لشکر سفلی,0,,13,58,841,1234
169,آب لشکر علیا,0,,13,58,841,1234
170,آب لشکر وسطی,0,,13,58,841,1234
171,آب مارو,0,,17,388,866,373
172,آب مارو,0,,7,179,26,112
173,آب مارون,0,,13,177,337,1399
174,آب مایک گلزاری,0,,13,362,843,1062
175,آب مرغان,0,,31,60,711,2265
176,آب مژگان,0,,13,45,4,12
177,آب مشکین,1,5949,30,325,397,2376
178,آب معدنی پودنا,0,,28,183,783,678
179,آب معدنی سپیدان,0,,17,229,859,946
180,آب معدنی ستاره سپیدان,0,,17,229,1063,1415
181,آب معدنی شش پیر,0,,17,229,859,1546
182,آب معدنی گوارا مکران,0,,16,51,657,850
183,آب ملک,0,,13,362,207,613
184,آب موکو,0,,17,133,365,513
185,آب میخک,0,,7,179,698,991
186,آب مید,0,,13,177,393,1587
187,آب میشان,0,,13,46,42,2247
188,آب نارو,0,,23,95,695,425
189,آب نرگسی,0,,13,381,530,571
190,آب نگون,0,,13,46,42,2247
191,آب نیک,0,,13,50,355,1470
192,آب نیک,0,,13,362,207,799
193,آب نیلو,0,,7,180,387,1564
194,آب هرزهله,0,,13,177,337,1399
195,آباد گیشکی,0,,21,193,1065,669
196,آبادان,0,,4,167,907,442
197,آبادان تپه,1,3338,24,359,759,51
198,آبادان(گرگ خوشاپ),0,,16,233,329,1411
199,آبادچی,0,,4,136,904,1905
200,آبادسلیمان,0,,4,37,886,330
201,آبادگران رهساز پرشیا,0,,13,83,98,402
202,آباده,0,,27,131,542,2195
203,آباده,0,,16,231,91,1946
204,آباده طشک,0,,17,417,2,8
205,آبادی آبگرم کوار,1,6523,17,338,881,1742
206,آبادی مجید,0,,13,267,386,1554
207,آبارا باشی,0,,2,138,617,709
208,آبانبار چاه کبکی,0,,31,434,294,187
209,آب‌باریک بالا,0,,26,41,76,334
210,آب‌باریک‌ پایین,0,,26,41,76,334
211,آبپای ارغوان,0,,7,179,103,506
212,آبتاف,0,,26,153,928,1180
213,آبجدان ابندر,0,,13,45,847,1845
214,آبچالکی,0,,25,368,581,1149
215,آبخوره,0,,2,108,605,2349
216,آبخوره,0,,18,86,251,1064
217,آبخوری,0,,15,246,706,867
218,آبدان,0,,17,133,857,648
219,آبدر,0,,26,69,927,1605
220,آبدره,0,,18,15,953,826
221,آبدنگسر,0,,25,368,39,2190
222,آبدوچال,0,,25,212,272,155
223,آبرسانی آب و برق,0,,13,178,835,881
224,آبرود,0,,25,302,335,1394
225,آبرومند,1,5932,30,91,921,11
226,آبریزک,0,,13,50,830,2291
