id,name,abadi_type,diag,ostan,shahrestan,bakhsh,dehestan,amar_code
1,(1ده عبدالله شمس الدینی)سنجدو,0,,31,61,1015,2042,2102020003821098
2,(اسلامیه),0,,10,290,274,1172,2911030001511836
3,(کلوییم)کلوییم,0,,14,288,206,778,1908010001235007
4,]چشمه گز,0,,11,69,48,1041,923010001158125
5,/باتمانقلنج علیا/باش باتمانقلنج,0,,1,440,1065,61,311030001037808
6,/سهیلان / سمیلان,0,,29,216,295,1255,2207010001521665
7,/شرکت تولیدی جبال بافق /,0,,31,61,1015,2297,2102020001510103
8,/عباس قشلاقی /نوری کندی,0,,3,395,580,113,2404040001032562
9,/قشلاق مقدم شابنده /قشلاق شاه بنده,0,,1,154,531,2143,326020001026266
10,/محموداباد/نوری کندی,0,,3,395,580,113,2404040001032552
11,13آبان(چاه نیازمحمد),0,,16,263,807,1513,1114010001198649
12,1چهل نفره شهیداکبری,0,,31,22,1013,2308,2101020002821754
13,2چاه قادری,0,,31,22,1013,2308,2101020002821760
14,2چاه کوثر1معروف به حبیب شاکر,0,,31,22,1013,2308,2101020002821759
15,3چاه تعاونی 19احمدمحمدی احمدابادی,0,,31,22,1013,2308,2101020002821756
16,آب  دلواد,0,,15,247,342,2589,2008010002240288
17,آب اژدون,0,,13,183,345,1424,608010004061434
18,آب اژدون شهی مرده,0,,13,183,345,1424,608010004061435
19,آب امیری,0,,13,95,144,570,606040002060678
20,آب انار,0,,13,45,3,13,621010001065703
21,آب انار,0,,13,46,42,2279,602010003054579
22,آب انار,0,,16,240,805,2157,1106040005199784
23,آب انار سیدنظر حسینی,0,,13,183,403,97,608040002364657
24,آب انارک,0,,13,59,759,2567,615020006806336
25,آب انارک,0,,17,175,831,313,705030001074746
26,آب اناری,0,,13,183,345,2294,608010007061436
27,آب اناری,0,,13,394,541,579,613040001067296
28,آب اناری,0,,26,41,315,1318,1501020002815161
29,آب اناری کهزاد,0,,13,394,541,579,613040001067297
30,آب انبار,0,,16,311,528,2129,1119020001187150
31,آب انبار,0,,30,443,391,1592,1304050003209886
32,آب انبار,0,,31,22,231,1205,2101010002821866
33,آب انبار,0,,31,409,1019,2440,2104010004821901
34,آب انبار بالا,0,,13,46,42,834,602010001054479
35,آب انبار بنیاد مسکن,0,,31,22,231,1308,2101010003821887
36,آب انبار پایین,0,,13,46,42,834,602010001054480
37,آب انبار ثقفی,0,,31,22,1013,2308,2101020002821890
38,آب انبار رودخانه دارین,0,,10,290,712,2372,2911020003511769
39,آب انبار ریز آب,0,,31,22,231,1205,2101010002821874
40,آب انبار غدیر اژدر,0,,31,414,1060,2487,2106020001821800
41,آب انبار مرتع سه چاهون,0,,31,92,8,42,2111010001921353
42,آب انبار میرها,0,,31,22,231,1308,2101010003821884
43,آب انجیرک سفلی,0,,13,394,775,699,613030001067170
44,آب انجیرک علیا,0,,13,394,775,699,613030001067171
45,آب بادام,0,,13,45,3,13,621010001065704
46,آب باددو,0,,17,329,842,2296,720020002079115
47,آب باران دو,0,,13,12,184,2,626020002060699
48,آب باران یک,0,,13,12,184,2,626020002060679
49,آب باره,0,,20,199,863,800,1207020001203292
50,آب باریک,0,,13,394,775,700,613030002067298
51,آب باریک,0,,18,91,856,1335,2601040004237418
52,آب باریک,0,,20,98,861,1508,1202030006202571
53,آب باریک,0,,20,195,862,891,1210010002205124
54,آب باریک,0,,20,199,863,1817,1207020005204938
55,آب باریک,0,,20,321,211,790,1205040001205556
56,آب باریک,0,,20,321,867,529,1205020003205346
57,آب باریک,0,,30,93,1003,12,1307020004209771
58,آب باریک,0,,30,209,1006,1215,1308030002209332
59,آب باریک / میر,0,,26,352,515,1344,1506040001451529
60,آب باریک بالا,0,,26,253,447,1795,1509010001218054
61,آب باریک پایین,0,,26,253,447,1795,1509010001218053
62,آب باریکو,0,,17,373,847,876,711040001082337
63,آب باریکی,1,6033,26,352,954,2053,1506030001220246
64,آب بخشان,0,,28,269,339,2286,7020002004888
65,آب برچینه,0,,15,6,521,1771,2006020002500199
66,آب برین,0,,16,433,12,721,1107060001186696
67,آب بویی,0,,7,124,674,292,1802020002231213
68,آب بهار دو,0,,13,394,775,699,613030001067174
69,آب بهار یک,0,,13,394,775,699,613030001067175
70,آب بید,0,,13,45,3,2041,621010002065705
71,آب بید,0,,13,45,753,1579,621030001065706
72,آب بید,0,,13,46,42,1907,602010002361120
73,آب بید,0,,13,46,42,2279,602010003054580
74,آب بید,0,,13,95,144,570,606040002060680
75,آب بید,0,,13,374,214,623,617020001066550
76,آب بید,0,,13,374,214,813,617020002066549
77,آب بید,0,,13,394,541,584,613040002067299
78,آب بید,0,,26,193,951,1112,1505020002217442
79,آب بید انجیر سیاه,0,,23,360,898,2266,1703020004817999
80,آب بید پیرشمس,0,,17,210,361,1225,726010001085380
81,آب بید حاجی بابا,0,,13,359,773,2103,620020002065336
82,آب بید گردکانه,0,,26,109,948,2442,1508010004451112
83,آب بید1,0,,21,138,31,1765,803060002381399
84,آب بیدعلی باز,0,,13,359,773,2103,620020002065337
85,آب بیدگله بادی,0,,13,45,3,13,621010001065707
86,آب بیدگله توک,0,,13,45,753,1874,621030002065708
87,آب پایین,0,,28,190,982,1109,5010001002371
88,آب پونه,0,,4,127,600,1233,1019020001176522
89,آب تاریکان پایین,0,,29,216,295,1255,2207010001521661
90,آب تر(موتورانوربلوچزهی),0,,16,152,129,514,1103040001410830
91,آب توصله,0,,13,359,773,2103,620020002364520
92,آب جاز,0,,13,45,753,1579,621030001065709
93,آب جاز,0,,13,183,345,1424,608010004061437
94,آب جازک,0,,13,183,403,1612,608040005364480
95,آب جازی,0,,13,51,756,898,604030003057803
96,آب جهان,1,5082,17,175,831,313,705030001074743
97,آب چنار,0,,13,45,199,756,621020001065710
98,آب چنار,0,,13,51,756,893,604030002057950
99,آب چنار,0,,17,314,841,631,709030003078659
100,آب چنار,0,,26,157,949,1916,1503060007218435
101,آب چندار,0,,13,45,3,13,621010001065712
102,آب چندار,0,,13,45,3,2041,621010002065711
103,آب چندار,0,,13,45,199,2249,621020002061980
104,آب چوییه,0,,4,37,510,601,1002020002173981
105,آب چهرو,0,,13,45,3,13,621010001065713
106,آب چیتک,0,,13,183,403,1612,608040005061438
107,آب حاجت چهار بیشه,0,,23,360,898,2266,1703020004471937
108,آب حمام,0,,13,394,541,579,613040001058370
109,آب حمام امیرالمومنین,0,,13,394,541,579,613040001058369
110,آب خارک,0,,4,37,510,633,1002020003174487
111,آب خرزهره,0,,13,45,753,1579,621030001065714
112,آب خرزهره,0,,13,51,756,533,604030001057951
113,آب خرزهره,0,,13,95,144,570,606040002060681
114,آب خوران,0,,16,225,1064,2498,1105030002270147
115,آب خوگان,0,,13,51,756,893,604030002057804
116,آب دره,0,,13,45,753,1874,621030002065715
117,آب دره تازه,0,,13,183,403,1045,608040001362667
118,آب دلو,0,,13,59,759,1870,615020003056980
119,آب دوزک,0,,16,225,1064,2498,1105030002416013
120,آب دیفه,0,,13,183,403,1612,608040005061439
121,آب راک دو,0,,13,51,756,893,604030002057805
122,آب راک یک,0,,13,51,756,893,604030002057806
123,آب راه,0,,13,51,268,1099,604020002057518
124,آب رحمت,0,,26,41,315,1317,1501020001451669
125,آب رزک,0,,13,45,753,1874,621030002065716
126,آب زالو,0,,13,51,756,2324,604030006362141
127,آب زالو بهرام,0,,13,394,430,1730,613050001067426
128,آب زالو عرب,0,,13,394,430,1730,613050001067427
129,آب زالوییه,0,,29,149,996,1016,2208020001822023
130,آب زنی,0,,23,360,898,2266,1703020004817998
131,آب زهره,0,,13,46,42,834,602010001054481
132,آب زهله انارکی,0,,13,46,42,1907,602010002054683
133,آب زهلی,0,,13,45,3,2041,621010002065717
134,آب زهلی,0,,13,51,756,533,604030001057757
135,آب سبز,0,,7,186,473,751,1804010001231863
136,آب سرخ,0,,22,128,903,918,512010001050786
137,آب سفیداب(مرکزنگهداری از سالمندان),0,,4,332,612,2063,1010030001180260
